ticker,date,year,quarter,dailyreturn,volume,liquidity
VTB,1/2/2014,2014,1,0.0000,9640,146055.0943
VTB,1/3/2014,2014,1,-0.0083,5540,113328.7805
VTB,1/6/2014,2014,1,0.0084,3250,80246.06061
VTB,1/7/2014,2014,1,-0.0187,160,34811.11111
VTB,1/8/2014,2014,1,0.0444,4940,3153.333333
VTB,1/9/2014,2014,1,-0.0162,3460,46044.5283
VTB,1/10/2014,2014,1,-0.0267,7090,57984.82759
VTB,1/13/2014,2014,1,-0.0085,560,81794.39024
VTB,1/14/2014,2014,1,0.0000,2110,5836.444444
VTB,1/15/2014,2014,1,0.0000,19110,35342.5
VTB,1/16/2014,2014,1,-0.0171,3090,280080.9375
VTB,1/17/2014,2014,1,-0.0174,2360,26877.16981
VTB,1/20/2014,2014,1,-0.0177,3240,42763.2
VTB,1/21/2014,2014,1,0.0629,4870,43690.90909
VTB,1/22/2014,2014,1,-0.0169,6170,40412.45614
VTB,1/23/2014,2014,1,-0.0086,1620,89657.8125
VTB,1/24/2014,2014,1,-0.0087,9650,29872.8
VTB,1/27/2014,2014,1,0.0350,5880,152070.6897
VTB,2/6/2014,2014,1,-0.0677,8120,61805.33333
VTB,2/7/2014,2014,1,-0.0204,1850,67564.5283
VTB,2/10/2014,2014,1,0.0394,1700,24218.18182
VTB,2/11/2014,2014,1,0.0000,510,36347.61905
VTB,2/12/2014,2014,1,0.0535,7820,10904.28571
VTB,2/13/2014,2014,1,0.0000,6180,88068.09524
VTB,2/14/2014,2014,1,0.0000,1860,121797.5
VTB,2/17/2014,2014,1,-0.0507,2120,36657.5
VTB,2/18/2014,2014,1,0.0445,1260,15604.59016
VTB,2/19/2014,2014,1,0.0085,4320,21105
VTB,2/20/2014,2014,1,-0.0169,580,85140
VTB,2/21/2014,2014,1,-0.0086,210,9632.142857
VTB,2/24/2014,2014,1,0.0174,1630,6050.625
VTB,2/25/2014,2014,1,0.0448,3620,38223.5
VTB,2/26/2014,2014,1,-0.0163,480,43263.41463
VTB,2/27/2014,2014,1,0.0415,4940,7010.909091
VTB,2/28/2014,2014,1,0.0498,8490,37573.93939
VTB,3/3/2014,2014,1,0.0000,2050,72165
VTB,3/4/2014,2014,1,-0.0228,2130,20006.48148
VTB,3/5/2014,2014,1,-0.0485,3210,43878
VTB,3/6/2014,2014,1,-0.0163,100,62916
VTB,3/7/2014,2014,1,0.0332,300,4016.666667
VTB,3/10/2014,2014,1,-0.0080,11990,9337.5
VTB,3/11/2014,2014,1,0.0425,1810,92547.8125
VTB,3/12/2014,2014,1,0.0252,970,35851.92308
VTB,3/13/2014,2014,1,0.0000,1280,10897.02128
VTB,3/14/2014,2014,1,-0.0568,90,19309.71429
VTB,3/17/2014,2014,1,0.0261,1760,800.3571429
VTB,3/18/2014,2014,1,0.0000,190,23667.36842
VTB,3/19/2014,2014,1,0.0000,1300,7468.461538
VTB,3/20/2014,2014,1,0.0000,1210,51100
VTB,3/21/2014,2014,1,0.0078,1270,47562.30769
VTB,3/24/2014,2014,1,0.0097,1730,50311.53846
VTB,3/25/2014,2014,1,0.0000,100,34600
VTB,3/26/2014,2014,1,-0.0096,350,10400
VTB,3/27/2014,2014,1,-0.0485,10050,22531.25
VTB,3/28/2014,2014,1,0.0000,10330,189403.8462
VTB,3/31/2014,2014,1,0.0429,220,92030.90909
VTB,4/1/2014,2014,2,-0.0333,60,0
VTB,4/2/2014,2014,2,0.0000,6590,2280
VTB,4/3/2014,2014,2,0.0344,1550,108515.3333
VTB,4/4/2014,2014,2,-0.0078,150,46591.17647
VTB,4/7/2014,2014,2,-0.0178,60,2925
VTB,4/8/2014,2014,2,0.0080,780,0
VTB,4/10/2014,2014,2,-0.0159,80,11187.42857
VTB,4/11/2014,2014,2,-0.0182,5350,1881.904762
VTB,4/14/2014,2014,2,0.0000,15260,68282.89474
VTB,4/15/2014,2014,2,0.0619,15330,145119.6078
VTB,4/16/2014,2014,2,-0.0660,70,131582.5
VTB,4/17/2014,2014,2,0.0437,520,0
VTB,4/18/2014,2014,2,-0.0677,5040,5118.431373
VTB,4/21/2014,2014,2,-0.0556,23470,69374.11765
VTB,4/22/2014,2014,2,0.0588,80,216119.5833
VTB,4/23/2014,2014,2,0.0278,50,2880
VTB,4/24/2014,2014,2,0.0000,0,1850
VTB,4/25/2014,2014,2,-0.0187,16950,0
VTB,4/28/2014,2014,2,0.0000,0,380971.4286
VTB,4/29/2014,2014,2,0.0466,2630,0
VTB,5/5/2014,2014,2,0.0000,130,24985
VTB,5/6/2014,2014,2,-0.0182,2170,2919.090909
VTB,5/7/2014,2014,2,0.0000,50,27696.05263
VTB,5/8/2014,2014,2,-0.0082,90,0
VTB,5/9/2014,2014,2,0.0541,1370,0
VTB,5/12/2014,2014,2,-0.0335,530,23153
VTB,5/13/2014,2014,2,0.0000,170,0
VTB,5/14/2014,2014,2,-0.0102,4910,2776.666667
VTB,5/15/2014,2014,2,0.0000,60,79378.33333
VTB,5/16/2014,2014,2,-0.0165,1390,0
VTB,5/19/2014,2014,2,0.0168,4200,22101
VTB,5/20/2014,2014,2,0.0000,0,53605.26316
VTB,5/21/2014,2014,2,-0.0082,1660,0
VTB,5/22/2014,2014,2,0.0000,0,30710
VTB,5/23/2014,2014,2,-0.0353,3590,0
VTB,5/26/2014,2014,2,-0.0086,4830,79321.90476
VTB,5/27/2014,2014,2,0.0543,4270,85453.84615
VTB,5/28/2014,2014,2,-0.0268,2070,69031.66667
VTB,5/29/2014,2014,2,-0.0085,4640,57472.94118
VTB,5/30/2014,2014,2,0.0000,1000,72384
VTB,6/2/2014,2014,2,0.0278,200,117000
VTB,6/3/2014,2014,2,-0.0644,4890,0
VTB,6/4/2014,2014,2,-0.0378,20,100022.7273
VTB,6/5/2014,2014,2,0.0000,30,0
VTB,6/6/2014,2014,2,0.0508,150,499.6153846
VTB,6/9/2014,2014,2,0.0088,2240,1950
VTB,6/10/2014,2014,2,0.0000,0,26363.07692
VTB,6/11/2014,2014,2,-0.0479,50,0
VTB,6/12/2014,2014,2,0.0503,110,0
VTB,6/13/2014,2014,2,-0.0479,260,0
VTB,6/16/2014,2014,2,0.0412,150,12624.44444
VTB,6/17/2014,2014,2,-0.0110,5030,7583.333333
VTB,6/18/2014,2014,2,0.0200,200,133147.0588
VTB,6/19/2014,2014,2,-0.0479,180,0
VTB,6/20/2014,2014,2,0.0206,1620,2537.419355
VTB,6/23/2014,2014,2,0.0202,460,180630
VTB,6/24/2014,2014,2,0.0000,1200,11627.77778
VTB,6/25/2014,2014,2,0.0000,0,42000
VTB,6/26/2014,2014,2,-0.0396,700,0
VTB,6/27/2014,2014,2,0.0297,4470,61180
VTB,6/30/2014,2014,2,0.0400,2430,118323.5294
VTB,7/1/2014,2014,3,0.0000,510,32492.57143
VTB,7/2/2014,2014,3,0.0000,300,7956
VTB,7/3/2014,2014,3,0.0000,6040,0
VTB,7/4/2014,2014,3,-0.0662,9920,108720
VTB,7/7/2014,2014,3,0.0618,50,139840
VTB,7/8/2014,2014,3,0.0000,50,0
VTB,7/9/2014,2014,3,0.0000,1260,748.3870968
VTB,7/10/2014,2014,3,0.0000,3020,18859.35484
VTB,7/11/2014,2014,3,0.0172,1010,51899.25926
VTB,7/14/2014,2014,3,0.0000,180,13620.57143
VTB,7/15/2014,2014,3,0.0000,3490,9440
VTB,7/16/2014,2014,3,0.0106,2750,96898.82353
VTB,7/17/2014,2014,3,-0.0105,3240,262350
VTB,7/18/2014,2014,3,0.0000,220,56640
VTB,7/21/2014,2014,3,0.0000,510,0
VTB,7/22/2014,2014,3,-0.0085,90,17194.28571
VTB,7/23/2014,2014,3,0.0000,60,3240
VTB,7/24/2014,2014,3,0.0000,930,0
VTB,7/25/2014,2014,3,0.0000,280,24180
VTB,7/28/2014,2014,3,-0.0278,1630,10080
VTB,7/29/2014,2014,3,-0.0110,3090,16855.68182
